"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Map to Escherichia coli CFT073"	"Accession-1"	"Accession-1"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11979"	"b2038"	2109581	2110138	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=DTDPDEHYDRHAMEPIM-MONOMER"	""	"b2038"	"b2038"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11991"	"b2112"	2192515	2192796	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11991-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2640"	"b2112"	"b2112"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12302"	"b1098"	1155124	1155765	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=DTMPKI-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1370"	"b1098"	"b1098"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12320"	"b0127"	142779	143705	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=YADG-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0156"	"b0127"	"b0127"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11428"	"b3962"	4159390	4160790	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=UDHA-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4923"	"b3962"	"b3962"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10649"	"b1109"	1166085	1167389	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=NADH-DHII-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1382"	"b1109"	"b1109"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11650"	"b0209"	231122	231922	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11650-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0246"	"b0209"	"b0209"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11045"	"b3831"	4016431	4017192	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=URPHOS-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4773"	"b3831"	"b3831"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10818"	"b3752"	3937294	3938223	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=RIBOKIN-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4680"	"b3752"	"b3752"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11257"	"b0385"	403703	404818	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11257-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0492"	"b0385"	"b0385"
